frame,time,ball_x,ball_y,chest_x,chest_y,rw_x,rw_y,dist_ball_chest,dist_ball_right_wrist,contact,contact_frame,contact_time
39,,463,521,377.74977564811707,927.8127479553222,277.8284347057342,846.826229095459,415.64914609680943,374.76824860184604,0,,
40,,462,535,383.94809246063227,923.2422924041748,276.08572840690607,849.634838104248,396.0103254736962,365.45751836687816,0,,
41,,462,535,383.87139201164246,922.3784065246581,275.64197301864624,851.5782737731934,395.1785789080447,367.3569349360346,0,,
42,,457,575,391.1523824930191,910.6889820098876,300.87770819663996,838.1268310546875,342.08624844354716,305.95734869229005,0,,
43,,454,599,400.88868856430054,907.9525279998779,335.80074548721313,808.6073112487793,313.4844110317692,240.6372554205213,0,,
44,,454,599,402.1758109331131,906.0478591918945,328.0951988697052,800.566291809082,311.3906459846955,237.65729305309168,0,,
45,,250,523,412.16626167297363,898.5048007965088,443.97499680519104,701.3982009887694,409.0253682184188,263.5378862736879,0,,
46,,250,523,411.38358235359186,894.3217277526854,499.06162619590754,725.4842948913573,404.87588981627204,320.9853319405735,0,,
47,,250,523,411.7385190725326,892.5396537780762,506.8176734447479,724.0496635437011,403.38431336158374,326.1537744754897,0,,
48,,250,523,413.7365448474884,895.0548648834229,568.2426309585571,754.1721725463867,406.49044097249765,393.3432922006435,0,,
49,,250,523,415.3037542104721,895.7595634460449,578.921148777008,767.5752067565918,407.76834513797434,409.8855375258028,0,,
50,,250,523,416.5342605113983,896.9532108306885,586.6134023666382,770.7468795776367,409.3588447983745,417.9558577090412,0,,
51,,250,523,419.3725311756134,899.9586296081542,589.42946434021,773.5974884033203,413.26125242138505,421.9140462894476,0,,
52,,250,523,421.44941389560694,900.1191329956055,590.6215238571167,775.1109695434569,414.2628899581814,423.77230145313433,0,,
53,,250,523,423.0447542667389,899.7715759277344,587.0217847824097,775.8551788330078,414.60982550622765,421.33054112014383,0,,
54,,250,523,425.3275179862976,898.1724643707274,584.674551486969,773.2263565063477,414.1184813374552,417.8759204637731,0,,
55,,250,523,425.7656890153885,897.0857620239258,580.3150177001953,768.7858772277832,413.32037789597973,411.7264970376709,0,,
56,,250,523,425.56695342063904,895.9643268585205,579.250738620758,767.7589988708496,412.22098957044165,410.25969386545313,0,,
57,,250,523,424.7098588943481,894.9877738952637,575.303385257721,763.1473159790039,410.9725522737946,404.342708394813,0,,
58,,250,523,423.95117461681366,895.2109622955321,572.8274703025818,760.6999969482422,410.8527858047639,400.89757311707274,0,,
59,,250,523,423.56250643730164,895.1953411102294,572.3654007911682,759.4691848754882,410.67422074554224,399.7963569405408,0,,
