frame,joint,donny_angle,test_angle,difference,donny_time,test_time
0,Right Arm,24.830987244436724,67.30681899010472,42.47583174566799,0.0,0.0
0,Right Shoulder,111.32061273199494,51.366223278875765,59.95438945311918,0.0,0.0
1,Right Arm,25.02075278959185,70.02839874626235,45.0076459566705,33.333333333333336,33.333333333333336
1,Right Shoulder,110.3183651326946,49.90341147484685,60.41495365784775,33.333333333333336,33.333333333333336
2,Right Arm,25.09699771267293,71.42241419270893,46.325416480036,66.66666666666667,66.66666666666667
2,Right Shoulder,109.67480190705848,49.07364878559776,60.60115312146072,66.66666666666667,66.66666666666667
3,Right Arm,25.20440592244113,72.43516901065776,47.230763088216634,100.0,100.0
3,Left Shoulder,36.99227864477263,74.60869076400766,37.61641211923503,100.0,100.0
3,Right Shoulder,109.06531114460196,49.219478332708505,59.84583281189346,100.0,100.0
4,Right Arm,25.170047269195344,70.30679738592737,45.136750116732024,133.33333333333334,133.33333333333334
4,Left Shoulder,36.747227096081,83.14871759737923,46.401490501298234,133.33333333333334,133.33333333333334
4,Right Shoulder,108.26288843513822,49.73262410472744,58.53026433041078,133.33333333333334,133.33333333333334
5,Right Arm,25.07627333155928,70.36119721388536,45.28492388232608,166.66666666666666,166.66666666666666
5,Left Shoulder,36.62544494929154,82.81643354359433,46.19098859430279,166.66666666666666,166.66666666666666
5,Right Shoulder,107.55092907929829,50.08959998062548,57.461329098672806,166.66666666666666,166.66666666666666
6,Right Arm,24.844625950057097,67.56087270788595,42.716246757828856,200.0,200.0
6,Left Shoulder,36.015679386539205,99.11654139084268,63.10086200430348,200.0,200.0
6,Right Shoulder,106.83833108397252,49.98157620539289,56.85675487857963,200.0,200.0
7,Right Arm,24.62147408877908,66.1025546092329,41.481080520453816,233.33333333333331,233.33333333333331
7,Left Shoulder,35.7532226983049,105.02220233620125,69.26897963789634,233.33333333333331,233.33333333333331
7,Right Shoulder,106.374224013567,49.60315374422837,56.77107026933863,233.33333333333331,233.33333333333331
8,Right Arm,24.538017423463256,65.9346539899434,41.39663656648014,266.6666666666667,266.6666666666667
8,Left Shoulder,35.578292524673614,104.43871809911174,68.86042557443812,266.6666666666667,266.6666666666667
8,Right Shoulder,106.1552177490779,49.59552889605029,56.559688853027616,266.6666666666667,266.6666666666667
9,Right Arm,24.11240550387344,61.67627632745885,37.56387082358541,300.0,300.0
9,Left Shoulder,34.94779042099845,105.45368271618764,70.5058922951892,300.0,300.0
9,Right Shoulder,105.28694698651108,52.13933321340282,53.14761377310826,300.0,300.0
10,Right Arm,23.44475962620944,53.831257940217895,30.386498314008456,333.3333333333333,333.3333333333333
10,Left Leg,169.82338589873294,136.68230166583294,33.1410842329,333.3333333333333,333.3333333333333
10,Left Shoulder,34.38679985286927,106.13903915560697,71.7522393027377,333.3333333333333,333.3333333333333
10,Right Shoulder,104.26170868533352,55.49564656170648,48.76606212362704,333.3333333333333,333.3333333333333
11,Left Leg,169.95398688728577,133.46336380322398,36.49062308406178,366.6666666666666,366.6666666666666
11,Left Shoulder,34.0519278090013,105.12271637870413,71.07078856970283,366.6666666666666,366.6666666666666
11,Right Shoulder,103.3439445323632,57.06524507514176,46.278699457221435,366.6666666666666,366.6666666666666
12,Left Leg,168.3608120526397,130.59439781659245,37.76641423604724,400.0,400.0
12,Left Shoulder,33.66845303334252,103.2312379163794,69.56278488303687,400.0,400.0
12,Right Shoulder,101.62373789077374,64.27651859139779,37.34721929937595,400.0,400.0
13,Left Leg,167.271746284162,129.03582428210584,38.23592200205616,433.33333333333337,433.33333333333337
13,Left Shoulder,33.62240862976106,102.28642015783568,68.66401152807461,433.33333333333337,433.33333333333337
14,Left Leg,166.77455700223942,128.29026715872354,38.48428984351588,466.6666666666667,466.6666666666667
14,Left Shoulder,33.787769439343094,102.1543222772352,68.3665528378921,466.6666666666667,466.6666666666667
15,Left Shoulder,42.97967639170321,96.197532940686,53.217856548982795,500.0,500.0
16,Left Shoulder,50.89607572525827,93.61018051125902,42.714104786000746,533.3333333333334,533.3333333333334
17,Left Shoulder,53.59397560849714,93.14108965354744,39.5471140450503,566.6666666666666,566.6666666666666
18,Left Arm,140.738136309468,172.04308208559806,31.30494577613007,600.0,600.0
19,Right Arm,14.905375867085562,45.07823951360216,30.172863646516603,633.3333333333333,633.3333333333333
21,Left Arm,137.6648252539049,173.6479728098344,35.98314755592952,700.0,700.0
21,Left Shoulder,95.95211720388151,58.8516006292837,37.10051657459781,700.0,700.0
21,Right Shoulder,95.73835888168657,133.48349301474448,37.74513413305792,700.0,700.0
22,Right Arm,15.385258921703286,47.94296712817795,32.55770820647466,733.3333333333333,733.3333333333333
22,Right Leg,160.55233751034487,113.29698302008173,47.255354490263144,733.3333333333333,733.3333333333333
22,Left Shoulder,103.05068105486752,44.78903110385085,58.26164995101667,733.3333333333333,733.3333333333333
22,Right Shoulder,95.3835816620922,135.6383979054395,40.25481624334729,733.3333333333333,733.3333333333333
23,Right Arm,15.681312033455184,47.82520537562694,32.14389334217176,766.6666666666666,766.6666666666666
