frame,x,y
0,1345,563
1,1348,567
2,1350,571
3,1351,573
4,1354,578
5,1357,580
6,1358,583
10,1371,606
11,1374,611
12,1375,612
13,1374,610
16,1358,579
17,1354,561
18,1351,552
19,1340,516
20,1334,487
21,1332,472
23,1324,376
24,1325,361
25,1323,318
26,1323,293
27,1322,281
28,1320,252
29,1319,236
30,1320,230
31,1319,215
32,1319,207
33,1318,204
34,1318,204
35,1318,205
36,1318,208
37,1315,220
38,1315,230
39,1315,240
40,1313,265
41,1312,286
42,1313,297
43,1308,334
44,1203,306
45,1149,295
50,608,197
51,566,195
52,436,192
53,376,204
54,403,204
55,500,194
56,559,200
