frame,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y
0,1377,586,1603,408
1,1377,591,1603,408
2,1379,595,1605,407
3,1380,597,1605,407
4,1382,601,1606,407
5,1384,605,1606,406
6,1387,607,1606,406
7,1393,612,1607,406
8,1398,617,1607,408
9,1400,620,1607,409
10,1404,625,1608,410
11,1404,628,1608,412
12,1404,629,1609,413
13,1406,628,1610,414
14,1404,626,1611,416
15,1404,626,1612,417
16,1394,610,1613,418
17,1382,595,1615,420
18,1378,585,1616,420
19,1361,554,1618,421
20,1344,523,1620,421
21,1341,506,1621,421
22,1338,457,1621,421
23,1339,433,1622,421
24,1341,425,1622,421
25,1337,413,1622,421
26,1328,407,1618,422
27,1325,407,1614,423
28,1316,412,1608,426
29,1306,418,1601,427
30,1299,421,1597,427
31,1284,429,1586,429
32,1270,431,1577,430
33,1263,439,1570,432
34,1247,461,1553,432
35,1237,479,1538,432
36,1237,490,1533,432
37,1233,518,1517,432
38,1238,536,1501,437
39,1242,542,1505,449
40,1244,556,1471,448
41,1253,558,1471,442
42,1269,555,1287,551
43,1272,554,1323,371
44,1275,548,1269,358
45,1276,544,1248,373
46,1280,541,1216,394
47,1283,539,1212,431
48,1282,538,1205,445
49,1282,538,1196,478
50,1282,539,1192,502
51,1281,539,1197,512
52,1281,542,1205,533
53,1279,546,1222,536
54,1279,549,1226,541
55,1278,552,1231,550
56,1271,555,1249,549
