frame,x,y
17,1816.0,1344.0
18,1810.0,1353.0
19,1804.7368421052631,1354.7894736842106
20,1799.4736842105262,1356.578947368421
21,1794.2105263157894,1358.3684210526317
22,1788.9473684210527,1360.157894736842
23,1783.6842105263158,1361.9473684210527
24,1778.421052631579,1363.7368421052631
25,1773.157894736842,1365.5263157894738
26,1767.8947368421052,1367.3157894736842
27,1762.6315789473683,1369.1052631578948
28,1757.3684210526317,1370.8947368421052
29,1752.1052631578948,1372.6842105263158
30,1746.842105263158,1374.4736842105262
31,1741.578947368421,1376.2631578947369
32,1736.3157894736842,1378.0526315789473
33,1731.0526315789473,1379.842105263158
34,1725.7894736842104,1381.6315789473683
35,1720.5263157894738,1383.421052631579
36,1715.2631578947369,1385.2105263157894
37,1710.0,1387.0
38,1709.0,1392.0
39,1799.0,1365.0
40,1746.0,1457.0
41,1693.0,1549.0
