frame,joint,donny_angle,test_angle,difference,donny_time,test_time
0,Left Arm,93.0010230194654,136.3520642797482,43.351041260282784,0.0,0.0
0,Right Arm,164.43136636915625,13.883983802449436,150.5473825667068,0.0,0.0
0,Left Shoulder,134.66365309360208,19.20851418161902,115.45513891198306,0.0,0.0
1,Right Arm,86.36537984396433,13.234995758771914,73.13038408519242,33.333333333333336,33.333333333333336
1,Right Shoulder,126.65490603264024,35.99023599686909,90.66467003577115,33.333333333333336,33.333333333333336
2,Right Arm,89.7704996860727,12.735268081365678,77.03523160470702,66.66666666666667,66.66666666666667
2,Right Shoulder,128.43033267371592,35.36531717471222,93.0650154990037,66.66666666666667,66.66666666666667
3,Right Arm,88.96909023675298,12.291584468732786,76.67750576802018,100.0,100.0
3,Right Shoulder,126.76176002915626,34.83254057992389,91.92921944923238,100.0,100.0
4,Right Arm,88.68894341063867,11.918216241095726,76.77072716954295,133.33333333333334,133.33333333333334
4,Right Shoulder,126.45078020081392,34.439686848225904,92.01109335258802,133.33333333333334,133.33333333333334
5,Right Arm,89.26699802032184,11.712558869077204,77.55443915124464,166.66666666666666,166.66666666666666
5,Right Shoulder,127.03825114797024,34.165329013329924,92.87292213464032,166.66666666666666,166.66666666666666
6,Left Arm,168.13968502694084,136.59220249551169,31.547482531429154,200.0,200.0
6,Right Arm,88.30073136690844,11.581965309331585,76.71876605757686,200.0,200.0
6,Right Shoulder,125.6356409207786,33.996293855187375,91.63934706559122,200.0,200.0
7,Left Arm,167.73637012637727,136.5974660078604,31.138904118516876,233.33333333333331,233.33333333333331
7,Right Arm,87.57513109826336,11.346844699102114,76.22828639916125,233.33333333333331,233.33333333333331
7,Right Shoulder,124.83684035928056,33.662018099754675,91.17482225952588,233.33333333333331,233.33333333333331
8,Left Arm,167.76080307585434,136.51206305646716,31.248740019387185,266.6666666666667,266.6666666666667
8,Right Arm,87.6309421021195,11.111262770866976,76.51967933125253,266.6666666666667,266.6666666666667
8,Right Shoulder,124.78229698071144,33.3687235851102,91.41357339560123,266.6666666666667,266.6666666666667
9,Left Arm,167.95889285360812,136.20602616439376,31.752866689214358,300.0,300.0
9,Right Arm,87.06850376347799,10.999379383813135,76.06912437966486,300.0,300.0
9,Right Shoulder,124.40717547289448,33.29692311852035,91.11025235437413,300.0,300.0
10,Left Arm,170.0510594704396,136.59357677678744,33.45748269365217,333.3333333333333,333.3333333333333
10,Right Arm,85.56115778816911,10.37457871266936,75.18657907549975,333.3333333333333,333.3333333333333
10,Right Shoulder,122.6314099448184,32.51983297672657,90.11157696809184,333.3333333333333,333.3333333333333
11,Left Arm,170.0360960362061,136.98697727142422,33.049118764781866,366.6666666666666,366.6666666666666
11,Right Arm,84.44860049852272,9.451213242542742,74.99738725597999,366.6666666666666,366.6666666666666
11,Right Shoulder,120.83186264734164,31.63666763538745,89.19519501195418,366.6666666666666,366.6666666666666
12,Left Arm,169.99526027789776,136.72765011820962,33.26761015968813,400.0,400.0
12,Right Arm,84.45271462819841,6.800492773342773,77.65222185485564,400.0,400.0
12,Right Shoulder,120.17395373557292,29.257470916485847,90.91648281908708,400.0,400.0
13,Left Arm,170.5802810958977,132.8419190078316,37.73836208806611,433.33333333333337,433.33333333333337
13,Right Arm,82.95122245851478,4.478546524824851,78.47267593368993,433.33333333333337,433.33333333333337
13,Right Shoulder,118.4420885855628,27.4601263024438,90.981962283119,433.33333333333337,433.33333333333337
14,Left Arm,170.4518086604757,128.58550632015093,41.86630234032478,466.6666666666667,466.6666666666667
14,Right Arm,81.75943819078857,2.8412664382647126,78.91817175252386,466.6666666666667,466.6666666666667
14,Right Shoulder,116.99123301183722,26.182959619631998,90.80827339220522,466.6666666666667,466.6666666666667
15,Left Arm,170.57104026359124,114.94010533686816,55.630934926723086,500.0,500.0
15,Right Arm,81.5397551688637,2.06678657513708,79.47296859372662,500.0,500.0
15,Right Shoulder,116.054754990853,24.93097972654371,91.12377526430929,500.0,500.0
16,Left Arm,169.29266289066874,104.95416582128136,64.33849706938737,533.3333333333334,533.3333333333334
16,Right Arm,82.03639845710207,1.9456420198978663,80.0907564372042,533.3333333333334,533.3333333333334
16,Right Shoulder,116.03883307529846,24.415984900692468,91.62284817460599,533.3333333333334,533.3333333333334
