frame,x,y
0,1336.0,564.0
1,1341.0,565.0
2,1343.0,567.0
3,1344.0,568.0
4,1346.0,567.0
5,1347.0,567.0
6,1350.0,570.0
7,1352.0,571.0
8,1353.0,574.0
9,1353.7142857142858,573.7857142857143
10,1354.4285714285713,573.5714285714286
11,1355.142857142857,573.3571428571429
12,1355.857142857143,573.1428571428571
13,1356.5714285714287,572.9285714285714
14,1357.2857142857142,572.7142857142857
15,1358.0,572.5
16,1358.7142857142858,572.2857142857143
17,1359.4285714285713,572.0714285714286
18,1360.142857142857,571.8571428571429
19,1360.857142857143,571.6428571428571
20,1361.5714285714287,571.4285714285714
21,1362.2857142857142,571.2142857142857
22,1363.0,571.0
23,1362.0,563.0
24,1354.0,538.0
25,1348.0,512.0
26,1347.0,500.0
27,1344.0,463.3333333333333
28,1341.0,426.6666666666667
29,1338.0,390.0
30,1338.0,342.0
31,1339.0,314.0
32,1339.0,299.0
33,1339.0,265.0
34,1340.0,245.0
35,1341.0,232.0
36,1341.0,211.0
37,1342.0,200.0
38,1343.0,197.0
39,1343.0,188.0
40,1344.0,185.0
41,1344.0,185.0
42,1344.0,191.0
43,1346.0,197.0
44,1345.0,201.0
45,1346.0,220.0
46,1347.0,236.0
47,1346.0,245.0
48,1345.0,276.0
49,1346.0,302.0
50,1347.0,316.0
51,1237.0,294.0
52,1137.0,263.0
53,1093.0,249.0
54,986.5,225.25
55,880.0,201.5
56,773.5,177.75
57,667.0,154.0
58,574.0,132.0
59,536.0,117.0
60,409.0,125.0
61,341.0,133.0
62,368.0,121.0
63,448.0,119.0
