frame,x,y
15,766.0,884.0
16,765.0,884.0
17,765.0,885.0
18,765.0,886.0
19,763.9047619047619,889.3333333333334
20,762.8095238095239,892.6666666666666
21,761.7142857142857,896.0
22,760.6190476190476,899.3333333333334
23,759.5238095238095,902.6666666666666
24,758.4285714285714,906.0
25,757.3333333333334,909.3333333333334
26,756.2380952380952,912.6666666666666
27,755.1428571428571,916.0
28,754.047619047619,919.3333333333334
29,752.952380952381,922.6666666666666
30,751.8571428571429,926.0
31,750.7619047619048,929.3333333333334
32,749.6666666666666,932.6666666666666
33,748.5714285714286,936.0
34,747.4761904761905,939.3333333333334
35,746.3809523809524,942.6666666666666
36,745.2857142857143,946.0
37,744.1904761904761,949.3333333333334
38,743.0952380952381,952.6666666666666
39,742.0,956.0
40,727.5,938.0
41,713.0,920.0
42,704.0,892.0
43,695.0,864.0
44,686.0,836.0
45,681.0,807.0
46,680.0,779.0
47,677.0,756.0
48,674.0,737.0
49,671.0,717.0
50,668.0,699.0
51,666.0,683.0
52,662.0,670.0
53,661.0,658.0
54,659.0,647.0
55,657.0,640.0
56,655.0,632.0
57,652.0,628.0
58,649.0,626.0
59,648.0,623.0
60,646.0,623.0
61,643.0,625.0
62,643.0,628.0
63,641.0,633.0
64,637.0,640.0
65,636.0,647.0
66,634.0,657.0
67,632.0,669.0
68,630.0,683.0
69,628.0,700.0
70,626.0,717.0
71,622.0,735.0
72,620.0,757.0
73,621.0,782.0
74,563.0,769.0
75,496.0,754.0
76,435.0,741.0
77,373.0,731.0
78,311.0,722.0
79,254.0,717.0
80,196.0,709.0
81,136.0,706.0
82,139.6851851851852,710.7962962962963
83,143.37037037037038,715.5925925925926
84,147.05555555555554,720.3888888888889
85,150.74074074074073,725.1851851851852
86,154.42592592592592,729.9814814814815
87,158.11111111111111,734.7777777777778
88,161.7962962962963,739.5740740740741
89,165.48148148148147,744.3703703703703
90,169.16666666666666,749.1666666666666
91,172.85185185185185,753.9629629629629
92,176.53703703703704,758.7592592592592
93,180.22222222222223,763.5555555555555
94,183.9074074074074,768.3518518518518
95,187.5925925925926,773.1481481481482
96,191.27777777777777,777.9444444444445
97,194.96296296296296,782.7407407407408
98,198.64814814814815,787.5370370370371
99,202.33333333333331,792.3333333333334
100,206.01851851851853,797.1296296296297
101,209.7037037037037,801.925925925926
102,213.38888888888889,806.7222222222222
103,217.07407407407408,811.5185185185185
104,220.75925925925924,816.3148148148148
105,224.44444444444446,821.1111111111111
106,228.12962962962962,825.9074074074074
107,231.8148148148148,830.7037037037037
108,235.5,835.5
109,239.1851851851852,840.2962962962963
110,242.87037037037038,845.0925925925926
111,246.55555555555554,849.8888888888889
112,250.24074074074073,854.6851851851852
113,253.92592592592592,859.4814814814815
114,257.6111111111111,864.2777777777778
115,261.2962962962963,869.0740740740741
116,264.98148148148147,873.8703703703704
117,268.66666666666663,878.6666666666667
118,272.35185185185185,883.462962962963
119,276.03703703703707,888.2592592592592
120,279.72222222222223,893.0555555555555
121,283.4074074074074,897.8518518518518
122,287.0925925925926,902.6481481481482
123,290.77777777777777,907.4444444444445
124,294.46296296296293,912.2407407407408
125,298.14814814814815,917.0370370370371
126,301.83333333333337,921.8333333333334
127,305.5185185185185,926.6296296296297
128,309.2037037037037,931.425925925926
129,312.8888888888889,936.2222222222222
130,316.5740740740741,941.0185185185185
131,320.25925925925924,945.8148148148148
132,323.94444444444446,950.6111111111111
133,327.6296296296296,955.4074074074074
134,331.3148148148148,960.2037037037037
135,335.0,965.0
136,345.0,976.0
