frame,Left Arm,Right Arm,Left Leg,Right Leg,Left Shoulder,Right Shoulder,Chest L,Chest R
0,131.38023214905516,117.37160466980033,175.7628667876394,178.9003155092553,63.53507348438674,98.16281394189669,17.068461163843086,17.268694067374128
1,156.94705261468235,90.84303160723316,176.8206500379093,179.24001272280137,27.901449776030603,130.45732943651515,17.169245779802097,17.714484191847912
2,158.1485054980225,92.22398406907644,176.76301566042835,178.44751227185267,27.87189283275949,131.2926033042313,18.34323932390251,19.105285554211832
3,161.57040090956914,90.83254628048154,176.87551177048263,176.99297880603413,27.02947345245217,128.69914083069352,18.820729501673892,19.680938456141835
4,162.06292687157963,90.14210270390743,176.65253437800664,176.8618934773665,25.674388509216318,127.77496794898093,18.925420836679255,19.8050343591935
5,163.49209031877317,89.86812137244742,176.5999132155056,176.76745024287106,24.927641586019735,127.32295769218545,18.928524312097707,19.836162363365606
6,164.91073090383153,88.790764294357,176.6239422701616,176.8594332493343,24.186689293804875,126.07231916560318,18.806658687325044,19.73297573240107
7,165.38451917705942,87.93241522388543,176.62464579629582,176.95728124754854,23.350790482145936,125.15588842885529,18.810687141211975,19.757909486099642
8,166.00132789004445,87.28710816347628,176.633957829533,176.99345982092117,22.338558801661346,124.40477022527688,18.846779103424854,19.827806230825345
9,167.01601156303357,86.99177965763465,176.60096424606465,177.12057285197898,21.954144784120768,124.143334304612,18.785515505903355,19.759993342309482
10,167.35569266001337,86.04800224912573,176.53759942792217,177.08393688520937,21.57305303174209,123.03989257133814,18.695262793276427,19.670512307701667
11,167.46245937462967,84.9079472596923,176.29931632244606,176.94959449413284,20.86229353029344,121.44750052486222,18.70448977359756,19.691052450279482
12,167.69787503530895,83.9407280234613,176.00469731262254,176.9416555555839,20.544342564185925,120.04525966092704,18.691826580303115,19.697794221948126
13,167.95826909956315,82.9770609438218,175.83680405697044,176.9486050773096,20.69710615098243,118.77140808174728,18.63777868264155,19.632725043386476
14,167.66785816277138,82.02203490962971,175.49748398149845,176.94603090209898,21.040121716793482,117.7001912626908,18.60848496452915,19.603167636961647
15,167.49742634763246,80.9827558673481,175.37628467070428,177.00400263931314,21.3374813183775,116.23019975636912,18.56537751472367,19.56406312328085
16,166.83397078617736,80.73706441021109,175.0193628408762,177.13812783661214,21.836569460826457,115.64532173852312,18.58100880442149,19.56907753280948
17,162.85498212939999,78.90719020008365,173.67016128397213,177.4256174576204,23.96515628046863,112.87733721675166,18.558881332788083,19.55548194644308
18,159.47346197589926,77.50032203706321,171.90911687751432,177.68695058298354,27.028826381651925,110.9241097621131,18.553496152829343,19.53505456090333
19,152.81383120656403,76.09067273236718,169.2682926507366,178.41398892387224,32.72025872931834,107.71639847240557,18.58334542386908,19.640752807469173
20,148.48718530923477,75.23284196111105,167.8463123304139,178.75554892019207,43.03205720268346,105.9916499623319,18.714723070760538,19.813008223697278
21,146.45336341014595,74.84713525175259,167.09832132552648,178.81481175251966,53.50836641994673,104.52580737043316,18.87753108603648,19.962115004172357
22,135.81977250899183,74.65223207963334,166.95229873441667,178.6493850894357,71.76361331182314,103.06899013543914,19.16000101077351,20.044382011779675
23,139.63827338036117,76.28550679870983,166.93496741098727,178.9633606377822,95.45144058818128,101.96683988520851,19.065062129476992,19.618382777043127
24,150.47735489962352,77.52430910298061,167.45403902247827,179.20630405903833,110.7427021400049,101.07563505805172,19.117102523256644,19.41914250246298
25,168.19345462906412,77.33092689083395,170.13314655791874,179.64285214081983,127.55748692791012,98.10463338378666,19.424305443835234,19.141958541894265
26,173.96136934122956,77.16170894384783,172.1102259115044,179.5963975048812,131.46883120290008,96.21537599026937,19.600826819311276,18.914555147358158
27,175.3496453857629,76.51989322660243,172.69344854360614,179.6649416531384,131.75891619775078,95.02951915134925,19.41994550066416,18.54613763797458
28,177.12529672011135,75.00408591586428,174.00792523281368,179.22437666732867,129.1152680587997,94.7512327703101,19.74711801799729,18.760099709231977
29,178.3404391589435,74.1843328305697,174.12244191734237,179.25730804097017,126.79824105388927,94.60084821395908,20.06162565077112,18.964069521202855
30,177.00683758673776,73.92629483352893,172.43338132959659,178.99120398414337,122.58549582810235,95.18386255964582,19.942177396916183,18.834972794417173
31,178.73101946321506,74.53241586732861,169.91131930638446,177.7720031736153,117.24441267875171,96.42314483596145,20.105765774721505,19.009276199432936
32,173.14253771794475,76.09448858084112,168.86760677263712,176.20050440838455,113.13645709125211,98.10914459695373,19.977235989258432,18.813830508031472
33,168.572027224679,75.18818611657247,168.0128487826622,175.3953951057249,110.68065898600834,97.94142827834906,20.001444139965496,18.962260112411194
34,158.3993918597594,74.77259767967502,165.69755359808028,174.08708372963122,101.49642423265095,99.06861415375027,19.781444478818955,18.85305952997796
35,170.22475674646992,74.67206578999946,166.0392908171771,173.146946158531,85.06974600097159,99.9755867651814,19.539441790706746,18.844382792200093
36,173.52031571050904,73.74652825967536,166.5606849451949,170.82398309498873,73.79588929461731,97.9241314407163,18.82876105452576,18.388823290759557
37,170.77682492942017,72.86072143282541,168.0406369313274,167.76401014597164,64.81356570115967,98.13240372528604,18.528100610411055,18.22756185777885
38,175.24263179589718,75.40125831705858,169.00027455529252,164.92711573814609,53.120255412559516,99.66695594746604,18.047270459266446,17.967198680436468
39,177.6118311287694,88.37369208014809,171.22325930259288,162.9558327357619,43.21277922990455,105.05413242285282,17.49027881051326,17.75237674327254
40,167.7214186590469,129.57028210974633,172.53811781928187,161.19428743945156,34.3845003570327,135.11093033288452,14.77380284752541,15.467344576386253
41,164.3059287415449,149.344049870256,172.12559588633562,159.02862932648216,32.464296296341736,142.67292703472245,11.131348213054624,11.86933796594761
42,158.96023211474468,156.00962443008055,171.92396823545337,156.5786859572432,30.14737659494139,139.30761677162067,8.235174794228849,8.866030690101459
43,138.12058409989967,141.1833095355519,172.22515844756518,154.96805328415564,21.18420769437492,16.133644983744475,4.218610341789877,4.57354384379692
44,121.59387185946842,155.4847298679014,172.6422796675,153.59753997990273,15.067412350671516,148.56557136319887,1.2136492773705516,1.394693987635906
45,113.72693749349077,156.0829712584148,172.69882164762984,153.98624047453492,13.495023704111532,143.57853776223473,1.1960583955165986,1.120212777732412
46,99.3103243196826,170.21604566348438,172.32832190101237,154.16943453679994,11.035517384650165,137.8634415138507,2.003641460453651,2.1101719987892054
47,94.20991443795187,170.64670077360495,171.90145453554854,154.4775027082381,10.601853590044255,132.06615915213942,3.5090665136255788,3.4888194294347517
48,85.66815455485107,169.98198559116244,172.0706353972531,156.52094520608625,9.203069975802052,122.07097715728976,4.090711223383226,4.236875403061606
49,80.23416074940396,162.8487864978132,172.49670875515469,157.68841941107792,7.6465946827626725,107.97175358775405,5.36757014441918,5.617173313135095
50,79.97039745348098,165.7434123369577,172.59481537645703,159.29567354815833,7.432386888556214,86.33007665771993,5.818821346306514,6.17838911524921
51,80.45663920659992,164.1951898256402,172.509268269604,160.0393844349571,7.7218124998519,75.01106667246975,6.047239361453179,6.476665803289965
52,80.45978496489572,156.68419912172416,172.47154691298724,160.24708024111234,7.337830412578978,60.725659622440304,5.890870150264965,6.301799307364117
53,82.30460791373169,145.22635857253974,172.448208501542,160.11356977296177,6.93558530650062,48.95664610637231,5.756334546743889,6.1667451580457575
54,82.67382656056327,144.7339563055621,172.2720571928845,160.52974961353257,6.463599657093934,45.30375117718836,5.683907432853844,6.060124768216997
55,81.91858198349404,143.53612601559954,172.33871063276956,160.31967559159295,5.359907014283135,39.82589227863145,4.5869359775432565,4.86927281405898
56,81.98184778256508,131.7431337464454,172.39103726928647,161.00842056667,4.68554175043062,34.26683706397882,3.981628318590342,4.201267737774997
