frame,ball_x,ball_y,chest_x,chest_y,rw_x,rw_y,dist_ball_chest,dist_ball_right_wrist,contact
0,1385.0,592.0,1836.1099433898926,1056.813966035843,1328.9991760253906,1531.9520044326782,647.7284956269885,941.6187460553473,0
1,1387.5,593.75,1830.9124946594238,1043.2432007789612,1334.1917037963867,1538.859486579895,631.3943125865239,946.6117029001094,0
2,1390.0,595.5,1827.202091217041,1041.5648353099823,1335.6108856201172,1538.535304069519,624.5954737785694,944.602435146405,0
3,1392.5,597.25,1818.5395431518555,1041.642597913742,1348.4346771240234,1538.3975458145142,615.6252702818222,942.1785688885345,0
4,1395.0,599.0,1821.3001441955566,1041.5053868293762,1344.0241241455078,1533.5130500793457,614.4451401989995,935.9023350156438,0
5,1395.0,600.0,1823.0333518981934,1041.5430450439453,1343.535690307617,1532.302451133728,614.957568425564,933.7218191528303,0
6,1395.0,601.0,1814.7807312011719,1042.5425326824188,1343.6397171020506,1524.9628973007202,609.241881731218,925.3892771410843,0
7,1393.909090909091,598.3636363636364,1776.7431449890137,1063.33176612854,1451.0717010498045,1437.1407222747803,602.2933460203104,840.722643829515,0
8,1392.8181818181818,595.7272727272727,1778.8408470153806,1062.703067064285,1409.1186904907224,1459.9707412719727,605.87118312611,864.3971769419179,0
9,1391.7272727272727,593.0909090909091,1826.4094161987305,1063.0679976940155,2189.0531158447266,857.4330639839171,640.1773423550642,840.0031398491541,0
10,1390.6363636363635,590.4545454545455,1831.9602584838867,1058.7136459350586,2214.963912963867,835.7877659797667,643.4542449515792,860.0606360446715,0
11,1389.5454545454545,587.8181818181819,1845.2982902526855,1059.9221527576447,2056.674041748047,1094.1236972808838,656.1957075690083,837.4997473736212,0
12,1388.4545454545455,585.1818181818181,1844.9167442321777,1059.257436990738,2217.5914764404297,859.8764705657959,658.1074617887043,873.4558960663356,0
13,1387.3636363636365,582.5454545454545,1849.1505432128906,1058.7826538085938,2228.8050842285156,844.5161032676696,663.361905221728,881.2788043388325,0
14,1386.2727272727273,579.9090909090909,1849.3121337890625,1057.3057115077972,2237.804718017578,838.642258644104,665.0661811775315,889.9716755875342,0
15,1385.1818181818182,577.2727272727273,1855.884017944336,1055.8631765842438,2239.3599700927734,846.7829346656798,671.2744439001625,895.6874829375517,0
16,1384.090909090909,574.6363636363636,1857.0179557800293,1055.8314406871796,2240.8312225341797,844.2485690116882,674.6915544662124,898.161848425004,0
17,1383.0,572.0,1857.597255706787,1054.8817777633667,2242.7803802490234,840.5913448333739,677.0652600896925,900.7572440899688,0
18,1381.0,568.0,1858.4626579284668,1051.4428746700287,2247.2733306884766,851.6890597343445,679.4759766064855,911.5420813517405,0
19,1373.0,539.0,1857.334213256836,1049.04700756073,2251.325225830078,859.5706987380981,703.3687369031791,934.9977407560353,0
20,1366.0,515.0,1854.9086952209473,1048.1012392044067,2254.0658569335938,863.7433576583861,723.3454523973475,954.0874675636627,0
21,1362.0,503.0,1848.6231422424316,1047.9143643379211,2252.5037384033203,871.4455890655518,730.5708364201917,963.7162757846058,0
22,1355.0,459.0,1840.5989456176758,1050.1561868190765,2258.217544555664,879.7665095329284,765.0307008215221,996.4167744160507,0
23,1354.0,421.6666666666667,1834.6112251281738,1054.2131996154785,2257.914047241211,885.1535654067992,794.4194522195226,1015.8152933007713,0
24,1353.0,384.3333333333333,1827.8624725341797,1056.2732005119324,2257.448043823242,889.1562795639037,822.7986101867625,1035.7955739510585,0
25,1352.0,347.0,1823.5739135742188,1060.3396439552305,2254.5398712158203,904.0894031524658,855.1230341897473,1060.6256748914955,0
26,1353.0,318.0,1820.185432434082,1061.3168263435364,2252.025146484375,916.495370864868,877.9419870378949,1080.0198715569672,0
27,1352.0,305.0,1815.2469635009766,1065.9839987754822,2249.8084259033203,924.5158624649048,890.8952775636417,1090.8069826823776,0
28,1353.0,270.0,1806.470775604248,1066.1425173282623,2245.748519897461,937.6699090003967,916.230676317324,1114.8017882851218,0
29,1352.0,250.0,1797.1559715270996,1067.031798362732,2243.170623779297,953.1403541564941,930.4325867692273,1135.1614150994126,0
30,1354.0,242.0,1790.595359802246,1071.8310642242432,2242.558364868164,959.1059947013855,937.6753720517527,1141.8305370823855,0
31,1354.0,221.0,1779.7077369689941,1076.3402009010315,2236.8619537353516,970.4870152473449,955.4234331398195,1158.0915401546529,0
32,1354.0,210.0,1770.6203269958496,1080.6417667865753,2226.5242767333984,969.273326396942,965.1888845917041,1156.6307092875484,0
33,1354.0,207.0,1763.7284660339355,1088.1465983390808,2213.4750366210938,968.3761596679688,971.7493214008721,1148.2120862826582,0
34,1354.0,199.0,1757.255744934082,1093.6485600471497,2191.2684631347656,968.2447743415831,981.3313618838338,1136.994284159725,0
35,1354.0,198.0,1755.8614540100098,1101.1921441555023,2176.315383911133,969.5801281929016,988.5588892338448,1127.625152627897,0
